Date,P_regime_0,P_regime_1,P_regime_2,P_regime_3,P_regime_4
2015-01-12,3.8935026416061944e-05,4.659947479877596e-96,0.9943356168865637,9.451012571589788e-05,0.005530937961304327
2015-01-13,0.0004376666121663301,5.287862835902177e-100,0.9976948884035057,0.0004243307550490941,0.0014431142292787881
2015-01-14,0.010796508612477228,2.9015463265320453e-103,0.564299322438163,0.016293918802170092,0.4086102501471896
2015-01-15,5.759306400015658e-06,4.07091643205892e-98,0.0007419381745955555,5.651389005248624e-06,0.9992466511299992
2015-01-16,1.0531216630239598e-05,3.433170669880104e-99,0.0011373051558584669,2.801693692326838e-05,0.998824146690588
2015-01-20,0.0002394911907794958,5.243878361069546e-101,0.01833266208768433,0.000265461888772958,0.9811623848327632
2015-01-21,0.023457813319999,2.353109938103388e-104,0.7712380843996998,0.03916070045912778,0.1661434018211735
2015-01-22,0.009449538563668326,2.5385759889674215e-106,0.9717681818899417,0.018753043786351276,2.9235760038546876e-05
2015-01-23,0.0086818600808409,2.6297213410420843e-105,0.9801682748649714,0.01096141887658397,0.00018844617760365373
2015-01-26,0.017639013496169878,8.626000616175986e-108,0.95621545523353,0.026133839080412457,1.1692189887728741e-05
2015-01-27,0.002798104470438218,2.0098839324159283e-104,0.9914148252167857,0.005377600239970918,0.0004094700728050927
2015-01-28,0.0023095311495980406,1.6040915362332706e-103,0.09998048058135674,0.0004130394073090478,0.8972969488617362
2015-01-29,0.010564743551778548,1.3214144254680909e-106,0.06393014621639097,0.001558015802747377,0.9239470944290831
2015-01-30,0.0002173766893928181,2.219744572571046e-102,0.007483156228632118,7.849629429105347e-05,0.992220970787684
2015-02-02,0.005015714933333557,6.643466522199478e-106,0.012761703456177017,0.0007933115378932788,0.9814292700725962
2015-02-03,0.2060157865931424,3.631117631393633e-107,0.6916783072359264,0.06440879404549558,0.03789711212543553
2015-02-04,0.669817061946291,2.8898984678117796e-111,0.08503966489128799,0.03396790922637914,0.21117536393604183
2015-02-05,0.7964519498620396,2.1261813399594103e-113,0.1609717928423352,0.04090265484538572,0.0016736024502396825
2015-02-06,0.8810815056156437,1.7786977890661836e-114,0.0822779778946273,0.026740079342561663,0.00990043714716736
2015-02-09,0.8967038439675418,7.0762598934552e-117,0.02898354544456309,0.0486371457663869,0.025675464821508252
2015-02-10,0.9370754274427741,4.374395635213814e-118,0.015935906333631393,0.04482861386860798,0.00216005235498642
2015-02-11,0.9615069546486513,3.98196608499385e-121,0.005909598514592513,0.03235223484147017,0.00023121199528602554
2015-02-12,0.9776673935916156,4.760261933925676e-125,0.0014387154448347878,0.020887455175320657,6.435788228948353e-06
2015-02-13,0.9852893915018135,4.344820272764332e-130,0.00040450983496262416,0.014306028654721926,7.000850202547766e-08
2015-02-17,0.9951940632200417,9.39515863677306e-133,2.8050378829713568e-05,0.004777348377891509,5.380232369431435e-07
2015-02-18,0.9920631917299093,1.1250739682679761e-135,1.1122792774379382e-05,0.00792561569636522,6.978095119104763e-08
2015-02-19,0.9900728374005374,3.746539758267409e-136,4.852266496346577e-06,0.009921449855403186,8.604775630328728e-07
2015-02-20,0.9980360268583806,6.546301006572974e-138,1.257381442535473e-06,0.0019618605506908603,8.552094861592012e-07
2015-02-23,0.996333196905394,3.5011958320008734e-139,2.697049096167594e-07,0.0036656531790968797,8.802105994635392e-07
2015-02-24,0.997362168474795,3.615834886486225e-143,1.4960560981726173e-07,0.0026376748349481835,7.084647015754889e-09
2015-02-25,0.997639910731427,1.7727746701361486e-147,1.6102066225341928e-08,0.0023600715759385647,1.590568160101026e-09
2015-02-26,0.9990888864735847,1.1179513838138936e-149,5.4627325718484255e-09,0.0009111078650583016,1.9862430523084748e-10
2015-02-27,0.9996420886220327,8.761621758951557e-152,1.6304061879685666e-09,0.0003579096394301234,1.0813081547423679e-10
2015-03-02,0.9997829011435715,2.581245434270674e-157,1.787753011005173e-10,0.00021709866832327664,9.32991081002375e-12
2015-03-03,0.9998464412731058,1.6486098499738415e-154,5.095413272167654e-10,0.0001535577974780804,4.1987468890907184e-10
2015-03-04,0.9997976397681301,1.311365636500465e-156,3.131692776076645e-10,0.000202359583213833,3.354869399952419e-10
2015-03-05,0.9998270791885628,4.0404247255058214e-158,1.8644944809589043e-10,0.00017292047842845697,1.4655907338362255e-10
2015-03-06,0.99977297083775,7.06432168483187e-150,2.1856456665708274e-09,0.00022692575548724703,1.0122111714182131e-07
2015-03-09,0.9998073284097354,4.0882846923702664e-152,7.456004023552381e-10,0.0001926521669534999,1.8677710724757955e-08
2015-03-10,0.9994059145724822,1.2134631661475522e-142,2.7869896923689016e-08,0.0005862519789577644,7.805578663107158e-06
2015-03-11,0.998538629813495,5.616150310584356e-139,8.201125634000331e-08,0.001040945246579516,0.0004203429286691381
2015-03-12,0.9993037168898111,2.5354367995969216e-139,1.0538396229850297e-07,0.0006645166945233265,3.1661031703321304e-05
2015-03-13,0.999741189297843,1.3482955793301501e-139,7.918534590355158e-08,0.00023598384687782036,2.2747669933186363e-05
2015-03-16,0.9991830494199454,5.419581353291352e-137,1.7767663533402655e-07,0.0007579290349639024,5.884386845552619e-05
2015-03-17,0.9991866558913896,8.462754498066875e-137,3.3160607083796776e-07,0.000806085415444641,6.927087095026633e-06
2015-03-18,0.998901943567167,3.6764775456176554e-141,5.038327757747688e-07,0.0010975449576529424,7.642404318486841e-09
2015-03-19,0.9972155943717343,2.3613207033651587e-140,6.29510086670501e-07,0.002783696692735019,7.942544405865177e-08
2015-03-20,0.9984184704923093,4.305752314632072e-144,5.026768803029725e-07,0.0015810260975350529,7.332753326524699e-10
2015-03-23,0.9993138477682401,6.708766865249511e-145,4.0538667044295545e-07,0.0006857458348108782,1.010278612826525e-09
2015-03-24,0.9992194266096174,6.82917591621388e-146,5.104344893024537e-07,0.0007800626955895817,2.6030375870551825e-10
2015-03-25,0.9982721322280761,6.130629506620559e-135,1.1153474744229768e-05,0.0017071693728599225,9.544924319843754e-06
2015-03-26,0.9990625239008598,1.0588844132343621e-135,3.5660595407792434e-06,0.0009043408261819074,2.9569213417386507e-05
2015-03-27,0.9989285376403072,4.498167754234134e-136,1.3892226603619685e-06,0.0009898728541477772,8.020028288462691e-05
2015-03-30,0.9982766467200745,1.9193320321444602e-135,3.4671257197569802e-06,0.0017032025647933748,1.6683589412243973e-05
2015-03-31,0.9973504939946208,4.804861906879123e-133,5.803301645242782e-06,0.0023953970970076966,0.00024830560672611086
2015-04-01,0.9986098352589275,2.2217317501685066e-135,4.59327009607795e-06,0.001369179099420029,1.6392371556413226e-05
2015-04-02,0.9992272163342505,4.05982812863609e-139,2.0847915134873658e-06,0.0007703912400989558,3.076341371499304e-07
2015-04-06,0.9993006639384981,1.9791656067020236e-141,5.847318101331696e-07,0.0006986824442822921,6.888540940679526e-08
2015-04-07,0.9992317418544138,1.7598466518363028e-144,3.501458686255683e-07,0.0007679053079121179,2.691805408036719e-09
2015-04-08,0.9864502478156187,5.415355094425892e-141,6.582766909777979e-06,0.013543079412481653,9.000498989937771e-08
2015-04-09,0.967490440038609,4.139263067620251e-144,2.767302713411752e-06,0.03250678589589515,6.7627825281118225e-09
